name,latitude,longitude
Acud Kino,52.53353,13.40086
Adria Filmtheater,52.454512,13.317649
Arsenal,52.50993,13.37362
Astor Film Lounge,52.50327,13.32998
Astra-Filmpalast,52.44654,13.5069
Autokino Berlin,52.55208,13.30429
B-ware! Ladenkino,52.51192,13.46154
Babylon,52.50072,13.41697
babylon berlin:mitte,52.52593,13.41137
Bali-Kino,52.43191,13.25980
Blauer Stern,52.58046,13.40149
Bundesplatz-Kino,52.47900,13.32931
Capitol Dahlem,52.45297,13.28655
Casablanca,52.43582,13.54779
Central,52.524234,13.402711
Cinema Bundesallee,52.46696,13.32857
Cinema Paris,52.50217,13.32491
CinemaxX Potsdamer Platz,52.508945,13.373445
CineMotion Berlin Hohenschönhausen,52.56586,13.50931
Cineplex Alhambra,52.55041,13.35113
Cineplex Neukölln Arcaden,52.48197,13.43324
Cineplex Spandau,52.53865,13.20625
Cineplex Titania,52.46421,13.32657
Cinestar,52.34388,14.55328
CineStar - Der Filmpalast,52.15247,14.633886
CineStar - Der Filmpalast Berlin-Hellersdorf,52.53778,13.60433
CineStar - Der Filmpalast Wildau,52.317222,13.605688
CineStar Cubix am Alexanderplatz,52.520347,13.411916
CineStar IMAX im Sony Center,52.50993,13.37362
CineStar Original. im Sony Center,52.50993,13.37362
CineStar Tegel,52.58369,13.28604
CineStar Treptower Park,52.491861,13.458402
Cosima-Filmtheater,52.47695,13.33031
Concerthaus-Kinos,52.407459,12.560248
Delphi Filmpalast am Zoo,52.505989,13.328358
Downstairs-Kino im Filmcafe,52.54366,13.419746
Eiszeit-Kino,52.50051,13.433661
Eva-Lichtspiele,52.484884,13.320086
Extra-Kinowelt,51.481156,13.84728
FilmforUM,53.068581,14.262528
Filmgalerie,51.29155,13.532517
Filmkunst 66,52.504611,13.319657
Filmpalast Bernau,52.676369,13.595817
Filmpalast-Kinos,52.751256,13.237238
Filmrauschpalast,52.534413,13.359107
Filmtheater am Friedrichshain,52.52914,13.430099
Fontane Klub,52.412034,12.555935
fsk,52.501698,13.41465
Hackesche Höfe Kino,52.524956,13.401657
Haus der Kulturen der Welt,52.51893,13.364718
Haveltorkino,52.436758,13.270798
Haus 1 der Stadt und - Regionalbibliothek,52.343789,14.554117
International,52.521052,13.423018
Intimes,52.513048,13.458327
Kant Kino,52.507706,13.308048
Kino ACHT,52.551893,13.414693
Kino im Kulturhaus Spandau,52.535699,13.202401
Kino in der Brotfabrik,52.552865,13.430529
Kino in der KulturBrauerei Berlin,52.538577,13.413759
Kino Kiste,52.53628,13.609271
Kino Spreehöfe,52.462338,13.512207
Kino-Café,51.868661,13.428758
KinOh Stadthalle,51.761133,14.329906
Krokodil,52.552696,13.419574
Lichtblick,52.53857,13.40847
Movie Magic,52.83647,13.787037
Movieland,52.42217,13.753456
Movietown,52.409246,12.618055
Movimiento,52.490509,13.423533
Multikulturelles Centrum Templin e.V.,53.122047,13.507712
Neues Off,52.48363,13.424649
Nordische Botschaften,52.417707,13.226048
OBENKINO im Glad-House,51.754353,14.33351
Odeon,52.486334,13.349419
Passage,52.477644,13.438822
Regenbogen Kino,52.495702,13.426881
Rollberg Kinos,52.47933,13.426065
Spreewald-Lichtspiele,51.943127,13.89483
Sputnik Südstern,52.489366,13.410101
Thalia,52.435495,13.344333
Thalia - Movie Magic,52.838551,13.787155
Tilsiter-Lichtspiele,52.520902,13.447266
Toni & Tonino,52.548977,13.450956
UCI Kinowelt am Eastgate,52.541976,13.541658
UCI Kinowelt Colosseum,52.548149,13.413191
UCI Kinowelt Friedrichshain,52.525204,13.442502
UCI Kinowelt Gropius Passagen,52.430949,13.457308
UCI Kinowelt Potsdam,52.393149,13.065405
Union Filmtheater,52.45667,13.625643
Union Filmtheater Neuruppin,52.918477,12.787013
Union Friedrichshagen,52.456598,13.625633
Urania,52.501123,13.347648
Weltspiegel,51.756843,14.332051
Weltspiegel Kino Finsterwalde,51.634155,13.709425
Xenon,52.486472,13.359375
Yorck/New Yorck,52.493338,13.38536
Zeughauskino,52.518434,13.397495
Zukunft,52.501656,13.465684
Z-inema,52.52961,13.395724
